DEPARTAMENTO,Codmun,MUNICIPIO,CULTIVO,PERIODO,AreaSembrada,AreaCosechada,Produccion,Rendimiento
AMAZONAS,91540,PUERTO NARIÑO,CACAO,2018,98,29,15,0.5
AMAZONAS,91001,LETICIA,CACAO,2018,52,0,0,0
ANTIOQUIA,5837,TURBO,CACAO,2018,2166,1761,881,0.5
ANTIOQUIA,5120,CACERES,CACAO,2018,2044,850,510,0.6
ANTIOQUIA,5490,NECOCLI,CACAO,2018,2017,1426,998,0.7
ANTIOQUIA,5045,APARTADO,CACAO,2018,2014,1404,702,0.5
ANTIOQUIA,5425,MACEO,CACAO,2018,1590,1420,994,0.7
ANTIOQUIA,5858,VEGACHI,CACAO,2018,878,828,580,0.7
ANTIOQUIA,5790,TARAZA,CACAO,2018,830,502,301,0.6
ANTIOQUIA,5172,CHIGORODO,CACAO,2018,789,434,303,0.7
ANTIOQUIA,5031,AMALFI,CACAO,2018,712,707,354,0.5
ANTIOQUIA,5854,VALDIVIA,CACAO,2018,663,384,192,0.5
ANTIOQUIA,5147,CAREPA,CACAO,2018,514,304,243,0.8
ANTIOQUIA,5665,SAN PEDRO DE URABA,CACAO,2018,510,440,264,0.6
ANTIOQUIA,5659,SAN JUAN DE URABA,CACAO,2018,510,390,351,0.9
ANTIOQUIA,5670,SAN ROQUE,CACAO,2018,502,202,162,0.8
ANTIOQUIA,5885,YALI,CACAO,2018,498,463,324,0.7
ANTIOQUIA,5142,CARACOLI,CACAO,2018,454,449,367,0.8
ANTIOQUIA,5250,EL BAGRE,CACAO,2018,403,287,144,0.5
ANTIOQUIA,5483,NARIÑO,CACAO,2018,402,390,234,0.6
ANTIOQUIA,5660,SAN LUIS,CACAO,2018,369,296,118,0.4
ANTIOQUIA,5652,SAN FRANCISCO,CACAO,2018,363,323,226,0.7
ANTIOQUIA,5234,DABEIBA,CACAO,2018,344,226,158,0.7
ANTIOQUIA,5051,ARBOLETES,CACAO,2018,313,245,172,0.7
ANTIOQUIA,5649,SAN CARLOS,CACAO,2018,294,217,152,0.7
ANTIOQUIA,5361,ITUANGO,CACAO,2018,290,265,212,0.8
ANTIOQUIA,5895,ZARAGOZA,CACAO,2018,287,269,161,0.6
ANTIOQUIA,5604,REMEDIOS,CACAO,2018,270,215,129,0.6
ANTIOQUIA,5480,MUTATA,CACAO,2018,250,216,173,0.8
ANTIOQUIA,5040,ANORI,CACAO,2018,245,230,138,0.6
ANTIOQUIA,5789,TAMESIS,CACAO,2018,197,192,115,0.6
ANTIOQUIA,5890,YOLOMBO,CACAO,2018,194,119,71,0.6
ANTIOQUIA,5579,PUERTO BERRIO,CACAO,2018,178,178,71,0.4
ANTIOQUIA,5736,SEGOVIA,CACAO,2018,168,146,58,0.4
ANTIOQUIA,5585,PUERTO NARE,CACAO,2018,160,160,72,0.5
ANTIOQUIA,5893,YONDO,CACAO,2018,151,121,97,0.8
ANTIOQUIA,5842,URAMITA,CACAO,2018,146,115,81,0.7
ANTIOQUIA,5055,ARGELIA,CACAO,2018,143,40,20,0.5
ANTIOQUIA,5154,CAUCASIA,CACAO,2018,136,136,109,0.8
ANTIOQUIA,5679,SANTA BARBARA,CACAO,2018,110,90,63,0.7
ANTIOQUIA,5591,PUERTO TRIUNFO,CACAO,2018,105,80,40,0.5
ANTIOQUIA,5284,FRONTINO,CACAO,2018,96,85,51,0.6
