_id,value
ABEJORRAL,15
AMALFI,2043
ANORI,635
APARTADO,4212
ARBOLETES,735
ARGELIA,70
BETULIA,21
BRICEÑO,87
BURITICA,35
CACERES,2584
CAMPAMENTO,98
CARACOLI,1324
CAREPA,902
CARMEN DE VIBORAL,0
CAUCASIA,136
CAÑASGORDAS,244
CHIGORODO,1211
CISNEROS,16
COCORNA,145
CONCORDIA,20
DABEIBA,713
EBEJICO,125
EL BAGRE,807
FRONTINO,168
GUADALUPE,127
HELICONIA,6
ITUANGO,795
MACEO,4200
MUTATA,473
NARIÑO,1147
NECHI,20
NECOCLI,3642
PUERTO BERRIO,534
PUERTO NARE,466
PUERTO TRIUNFO,240
REMEDIOS,645
SABANALARGA,6
SAN ANDRES,141
SAN CARLOS,555
SAN FRANCISCO,888
SAN JUAN DE URABA,1170
SAN LUIS,778
SAN PEDRO DE URABA,1107
SAN RAFAEL,91
SAN ROQUE,316
SANTA BARBARA,266
SANTA ROSA DE OSOS,3
SANTAFE DE ANTIOQUIA,16
SANTO DOMINGO,162
SEGOVIA,443
SONSON,233
TAMESIS,556
TARAZA,1322
TARSO,114
TITIRIBI,42
TOLEDO,39
TURBO,5283
URAMITA,355
VALDIVIA,1136
VALPARAISO,18
VEGACHI,2454
YALI,1492
YARUMAL,87
YOLOMBO,356
YONDO,258
ZARAGOZA,656
